"Google Mobile Украина, язык интерфейса: українська"
"Ключевое слово",URL,Частотность,Динамика,2025-09-16,2025-09-23,2025-09-25,2025-09-30,2025-10-07,2025-10-14,2025-10-21,2025-10-28,2025-11-03,2025-11-04,2025-11-05,2025-11-11,2025-11-28,2026-01-06,2026-01-20,2026-02-13,2026-03-03
"еко пакети для сміття",https://avrora.ua/paketi-dlya-smittya-eko-logichno-sini-60l-20sht-rul./,30,0,"Нет данных","Нет данных",-,11,13,12,11,28,-,27,"Нет данных",11,8,8,36,8,72
"біопакети для сміття",https://avrora.ua/paketi-dlya-smittya-60-l/,10,0,"Нет данных","Нет данных",54,52,43,45,18,23,16,20,"Нет данных",18,17,12,13,14,12
"екологічні пакети для сміття",https://avrora.ua/paketi-dlya-smittya-60-l/,10,0,"Нет данных","Нет данных",26,15,69,-,11,-,10,10,"Нет данных",10,6,9,78,13,15
"мусорні пакети ціна",https://avrora.ua/paketi-dlya-smittya/,10,0,"Нет данных","Нет данных",3,3,3,3,3,1,1,1,"Нет данных",1,1,1,1,1,8
"мішки для сміття ціна",https://avrora.ua/paketi-dlya-smittya/,10,0,"Нет данных","Нет данных",4,5,9,7,8,5,5,3,"Нет данных",5,8,12,9,12,18
"пакети для сміття ціна",https://avrora.ua/paketi-dlya-smittya/,20,0,"Нет данных","Нет данных",4,1,3,1,3,1,1,1,"Нет данных",1,1,2,2,4,13
"пакети для льоду",https://avrora.ua/paketi-dlya-zamorozki-lodu-365-120-kub-pach./,590,0,"Нет данных","Нет данных",1,1,1,1,1,1,1,1,"Нет данных",1,1,1,1,1,3
"пакет для льоду",https://avrora.ua/paketi-dlya-lodu-ta-zamorozki/,90,0,"Нет данных","Нет данных",1,1,1,1,1,1,1,1,"Нет данных",1,1,1,1,1,10
"пакети для заморозки льоду",https://avrora.ua/paketi-dlya-lodu-ta-zamorozki/,50,0,"Нет данных","Нет данных",3,3,2,1,11,2,2,2,"Нет данных",1,1,1,1,1,7
"пакети для льоду фрекен бок",https://avrora.ua/paketi-dlya-zamorozhuvannya-lodu-fb-144-kub.-pach./,20,0,"Нет данных","Нет данных",63,5,7,1,3,1,1,1,"Нет данных",1,78,1,18,2,12
"пакети для льоду купити",https://avrora.ua/paketi-dlya-lodu-ta-zamorozki/,10,0,"Нет данных","Нет данных",1,1,1,1,1,1,1,1,"Нет данных",1,1,1,1,1,8
"пакети для заморозки продуктів",https://avrora.ua/paketi-dlya-lodu-ta-zamorozki/,70,0,"Нет данных","Нет данных",5,1,4,1,1,1,1,1,"Нет данных",1,1,1,1,1,12
"пакети для продуктів харчування",https://avrora.ua/paketi-polietilenovi/,30,0,"Нет данных","Нет данных",-,12,12,13,12,13,14,12,"Нет данных",12,13,16,13,16,16
"пакети для продуктів",https://avrora.ua/paketi-polietilenovi/,30,0,"Нет данных","Нет данных",5,7,4,3,5,8,7,5,"Нет данных",5,6,7,5,8,11
"еко пакети для продуктів",https://avrora.ua/paketi-polietilenovi/,30,0,"Нет данных","Нет данных",-,-,-,63,84,73,62,72,"Нет данных",60,56,17,65,76,72
"багаторазові пакети для продуктів",https://avrora.ua/paketi-polietilenovi/,20,0,"Нет данных","Нет данных",38,16,13,-,12,32,10,10,"Нет данных",10,9,19,34,22,35
"пакети бутербродні",https://avrora.ua/paketi-buterbrodni/,20,0,"Нет данных","Нет данных",2,2,2,2,2,2,2,2,"Нет данных",2,1,1,1,1,1
"пакети для заморожування продуктів",https://avrora.ua/paketi-dlya-lodu-ta-zamorozki/,10,0,"Нет данных","Нет данных",3,3,3,2,19,2,39,37,"Нет данных",38,2,2,3,3,11
"паперові пакети для продуктів",https://avrora.ua/paketi-dlya-produktiv-paperovi-12h8h25-sm-15-sht-up./,10,0,"Нет данных","Нет данных",-,9,9,11,8,10,9,9,"Нет данных",5,5,1,1,3,18
"пакети для харчових продуктів",https://avrora.ua/paketi-polietilenovi/,20,0,"Нет данных","Нет данных",29,7,8,11,23,27,10,10,"Нет данных",7,14,10,16,21,18
"еко пакети для продуктів купити",https://avrora.ua/paketi-polietilenovi/,0,0,"Нет данных","Нет данных",-,64,12,19,15,14,13,14,"Нет данных",15,15,15,16,57,17
"освіжувач повітря glade",https://avrora.ua/osvizhuvachi-povitrya-glade/,20,0,"Нет данных","Нет данных",12,25,13,15,11,11,-,15,"Нет данных",10,9,3,1,2,4
"glade освіжувач",https://avrora.ua/osvizhuvachi-povitrya-glade/,260,0,"Нет данных","Нет данных",-,-,11,11,12,9,11,10,"Нет данных",12,11,3,3,2,4
"освіжувач повітря глейд",https://avrora.ua/osvizhuvachi-povitrya-glade/,210,0,"Нет данных","Нет данных",17,15,15,15,15,12,12,12,"Нет данных",12,10,4,2,2,4
"автоматичний освіжувач повітря glade",https://avrora.ua/osvizhuvachi-povitrya-glade/,170,0,"Нет данных","Нет данных",39,37,38,40,35,31,31,31,"Нет данных",34,30,26,28,26,22
"освіжувач glade",https://avrora.ua/osvizhuvachi-povitrya-glade/,70,0,"Нет данных","Нет данных",-,14,15,17,16,15,14,16,"Нет данных",14,12,3,3,2,5
"освіжувач повітря",https://avrora.ua/osvizhuvachi-povitrya/,6600,0,"Нет данных","Нет данных",5,3,4,4,3,3,2,2,"Нет данных",3,2,4,3,3,3
"купити освіжувач повітря",https://avrora.ua/osvizhuvachi-povitrya/,320,0,"Нет данных","Нет данных",6,3,4,5,4,5,5,3,"Нет данных",6,4,2,3,4,3
"освіжувач повітря для кімнати",https://avrora.ua/osvizhuvachi-povitrya/,320,0,"Нет данных","Нет данных",4,3,4,3,6,4,8,6,"Нет данных",8,3,8,7,8,3
"освіжувачі повітря",https://avrora.ua/osvizhuvachi-povitrya/,210,0,"Нет данных","Нет данных",-,5,9,6,8,4,-,-,"Нет данных",9,3,3,3,3,3
"гелевий освіжувач повітря",https://avrora.ua/osvizhuvachi-povitrya/,170,0,"Нет данных","Нет данных",2,5,4,7,8,5,7,7,"Нет данных",8,9,11,11,5,5
"кімнатний освіжувач повітря",https://avrora.ua/osvizhuvachi-povitrya/,260,0,"Нет данных","Нет данных",6,8,4,4,8,7,5,4,"Нет данных",6,6,4,3,3,2
"електронний освіжувач повітря",https://avrora.ua/osvizhuvachi-povitrya/,170,0,"Нет данных","Нет данных",-,3,13,11,12,14,11,11,"Нет данных",10,11,12,11,13,12
"освіжувач повітря з паличками",https://avrora.ua/aromati-dlya-domu/,140,0,"Нет данных","Нет данных",7,7,7,8,8,7,7,6,"Нет данных",6,9,9,9,10,5
"освіжувач повітря для дому",https://avrora.ua/osvizhuvachi-povitrya/,50,0,"Нет данных","Нет данных",3,3,4,3,5,4,3,4,"Нет данных",4,9,11,3,3,5
"освіжувач повітря купити",https://avrora.ua/osvizhuvachi-povitrya/,50,0,"Нет данных","Нет данных",5,5,4,4,7,5,4,4,"Нет данных",5,4,4,3,3,3
"освіжувач повітря ціна",https://avrora.ua/osvizhuvachi-povitrya/,30,0,"Нет данных","Нет данных",3,2,4,2,2,3,2,2,"Нет данных",3,2,2,2,2,2
"освіжувач повітря в кімнати",https://avrora.ua/osvizhuvachi-povitrya/,10,0,"Нет данных","Нет данных",3,3,3,2,3,3,3,3,"Нет данных",2,3,5,5,7,6
"освіжувач повітря air wick",https://avrora.ua/air-wick-uk/,390,0,"Нет данных","Нет данных",19,19,16,20,22,20,19,19,"Нет данных",18,29,18,25,32,34
"автоматичний освіжувач повітря air wick",https://avrora.ua/osvizhuvachi-povitrya-brendu-air-wick/,170,0,"Нет данных","Нет данных",-,16,18,17,18,16,14,14,"Нет данных",15,24,21,23,17,31
"освіжувач аір вік",https://avrora.ua/osvizhuvachi-povitrya/,90,0,"Нет данных","Нет данных",18,18,17,19,21,19,27,27,"Нет данных",28,27,26,23,24,36
"освіжувач повітря аір вік",https://avrora.ua/osvizhuvachi-povitrya/,90,0,"Нет данных","Нет данных",19,19,21,20,19,26,25,26,"Нет данных",30,24,27,25,33,44
"електричний освіжувач повітря air wick",https://avrora.ua/osvizhuvachi-povitrya/,50,0,"Нет данных","Нет данных",-,23,17,27,27,16,16,18,"Нет данных",16,27,22,23,34,60
"насадки для швабри",https://avrora.ua/nasadki-dlya-shvabri-uk/,10,0,"Нет данных","Нет данных",2,2,2,2,1,2,1,1,"Нет данных",2,2,2,2,2,4
"моп для швабри",https://avrora.ua/nasadka-zminna-dlya-motuzkovoi-shvabri-mop-fino-tvist/,720,0,"Нет данных","Нет данных",10,4,4,4,4,4,5,4,"Нет данных",5,3,4,4,6,22
"змінна насадка для швабри",https://avrora.ua/nasadka-zminna-dlya-shvabri-natiracha-365-40-sm/,320,0,"Нет данных","Нет данных",-,2,1,1,1,1,1,1,"Нет данных",2,4,3,3,1,11
"насадка до швабри",https://avrora.ua/nasadki-dlya-shvabri-uk/,110,0,"Нет данных","Нет данных",3,3,2,2,2,3,2,2,"Нет данных",3,3,2,2,2,3
"мітла для прибирання",https://avrora.ua/schitka-mitla-dlya-pribirannya-pilu-z-teleskopichnoyu-ruchkoyu/,140,0,"Нет данных","Нет данных",-,8,8,8,8,7,6,6,"Нет данных",8,8,9,12,9,9
мітли,https://avrora.ua/mitli-dlya-pribirannya/,70,0,"Нет данных","Нет данных",-,-,-,-,-,24,80,64,"Нет данных",62,58,11,42,11,49
"щітки для миття вікон",https://avrora.ua/shitki-dlya-mittya-vikon/,1600,0,"Нет данных","Нет данных",6,5,4,5,4,5,6,7,"Нет данных",4,3,5,4,10,5
"магнітні щітки для миття вікон",https://avrora.ua/shitki-dlya-mittya-vikon/,10,0,"Нет данных","Нет данных",18,13,15,14,-,14,13,13,"Нет данных",13,15,15,15,23,22
"купити щітку для миття вікон",https://avrora.ua/shitki-dlya-mittya-vikon/,140,0,"Нет данных","Нет данных",5,5,7,5,5,5,6,5,"Нет данных",4,4,3,3,8,5
"магнітна щітка для миття склопакетів",https://avrora.ua/schitka-dlya-mittya-vikon-z-dvoh-storin-magnit/,110,0,"Нет данных","Нет данных",22,21,24,26,23,22,24,23,"Нет данных",23,27,27,28,26,40
"магнітні щітки для миття склопакетів",https://avrora.ua/schitka-dlya-mittya-vikon-z-dvoh-storin-magnit/,110,0,"Нет данных","Нет данных",-,48,60,55,52,29,51,50,"Нет данных",26,50,46,48,37,56
"двостороння щітка для миття вікон",https://avrora.ua/schitka-dlya-mittya-vikon-z-dvoh-storin-magnit/,70,0,"Нет данных","Нет данных",12,11,10,11,11,9,11,11,"Нет данных",10,12,14,15,11,13
"телескопічна щітка для миття вікон",https://avrora.ua/shitki-dlya-mittya-vikon/,90,0,"Нет данных","Нет данных",34,39,38,38,-,31,33,35,"Нет данных",36,28,34,34,31,27
"щітка для миття вікон на магнітах",https://avrora.ua/schitka-dlya-mittya-vikon-z-dvoh-storin-magnit/,50,0,"Нет данных","Нет данных",-,8,8,8,8,10,12,11,"Нет данных",9,10,11,11,10,14
"щітка для миття вікон на магніті",https://avrora.ua/schitka-dlya-mittya-vikon-z-dvoh-storin-magnit/,50,0,"Нет данных","Нет данных",9,7,10,9,8,7,8,10,"Нет данных",11,8,10,13,11,11
"щітка магнітна для миття вікон",https://avrora.ua/schitka-dlya-mittya-vikon-z-dvoh-storin-magnit/,70,0,"Нет данных","Нет данных",10,9,11,10,11,10,11,13,"Нет данных",11,14,12,13,19,31
"щітка для миття вікон магнітна",https://avrora.ua/schitka-dlya-mittya-vikon-z-dvoh-storin-magnit/,50,0,"Нет данных","Нет данных",10,10,11,13,-,10,11,11,"Нет данных",10,11,14,13,16,30
"щітка для миття вікон з двох сторін",https://avrora.ua/schitka-dlya-mittya-vikon-z-dvoh-storin-magnit/,30,0,"Нет данных","Нет данных",7,7,6,7,5,6,6,6,"Нет данных",5,7,6,8,12,10
"магнітна щітка для миття вікон з двох сторін",https://avrora.ua/schitka-dlya-mittya-vikon-z-dvoh-storin-magnit/,30,0,"Нет данных","Нет данных",6,6,6,6,6,5,6,6,"Нет данных",6,6,7,11,6,12
"магнітна щітка для миття вікон купити",https://avrora.ua/shitki-dlya-mittya-vikon/,20,0,"Нет данных","Нет данных",10,9,10,9,-,8,9,9,"Нет данных",9,11,10,11,17,42
"щітка мити вікна",https://avrora.ua/shitki-dlya-mittya-vikon/,20,0,"Нет данных","Нет данных",-,3,4,4,3,6,4,4,"Нет данных",4,5,5,5,8,4
"щітка для миття вікон купити",https://avrora.ua/shitki-dlya-mittya-vikon/,10,0,"Нет данных","Нет данных",6,5,5,5,4,6,6,5,"Нет данных",4,3,4,4,10,6
"щітка для миття вікон ціна",https://avrora.ua/schitka-dlya-mittya-vikon-mala/,10,0,"Нет данных","Нет данных",-,5,5,5,5,5,5,5,"Нет данных",5,4,6,7,12,7
"віник купити",https://avrora.ua/vinik-dlya-pribirannya-sorgo-lyuks/,390,0,"Нет данных","Нет данных",14,13,15,14,13,14,12,12,"Нет данных",13,10,8,10,6,43
"купити віник",https://avrora.ua/vinik-dlya-pribirannya-sorgo-lyuks/,390,0,"Нет данных","Нет данных",17,17,18,17,17,15,15,12,"Нет данных",16,14,10,13,8,45
"купити віники",https://avrora.ua/vinik-dlya-pribirannya-sorgo-lyuks/,390,0,"Нет данных","Нет данных",-,-,34,63,75,82,23,21,"Нет данных",38,18,56,45,20,-
"віник для прибирання",https://avrora.ua/instrumenti-dlya-pribirannya/,210,0,"Нет данных","Нет данных",14,15,16,19,17,16,16,15,"Нет данных",13,16,14,13,13,51
віники,https://avrora.ua/vinik-dlya-pribirannya-sorgo-lyuks/,210,0,"Нет данных","Нет данных",-,-,-,50,-,-,-,50,"Нет данных",-,-,70,-,73,-
"віник ціна",https://avrora.ua/vinik-dlya-pribirannya-sorgo-lyuks/,140,0,"Нет данных","Нет данных",13,25,12,13,-,11,13,11,"Нет данных",11,10,11,12,11,-
"віники для прибирання",https://avrora.ua/vinik-dlya-pribirannya-sorgo-lyuks/,40,0,"Нет данных","Нет данных",-,-,-,-,77,-,-,-,"Нет данных",-,-,76,86,-,43
"віник пластмасовий",https://avrora.ua/instrumenti-dlya-pribirannya/,40,0,"Нет данных","Нет данных",44,46,-,-,84,73,68,68,"Нет данных",59,57,67,83,79,-
"віник щітка",https://avrora.ua/instrumenti-dlya-pribirannya/,40,0,"Нет данных","Нет данных",21,22,32,35,37,47,35,33,"Нет данных",35,33,24,32,37,19
"віники ціна",https://avrora.ua/vinik-dlya-pribirannya-sorgo-lyuks/,10,0,"Нет данных","Нет данных",-,-,-,-,85,90,80,82,"Нет данных",57,81,-,-,-,-
"купити віник звичайний",https://avrora.ua/nabori-dlya-pribirannya/,10,0,"Нет данных","Нет данных",6,6,10,34,-,44,66,33,"Нет данных",72,-,11,19,13,47
"губки для посуду",https://avrora.ua/gubki-gospodarski/,10,0,"Нет данных","Нет данных",53,-,14,18,14,12,13,11,"Нет данных",5,3,4,4,2,2
"губки для миття посуду",https://avrora.ua/gubki-gospodarski/,10,0,"Нет данных","Нет данных",27,63,14,13,15,12,6,7,"Нет данных",4,1,3,3,3,1
"губка для миття посуду",https://avrora.ua/gubki-gospodarski/,10,0,"Нет данных","Нет данных",38,24,12,11,13,13,7,5,"Нет данных",6,1,3,1,1,2
"губки кухонні",https://avrora.ua/gubki-gospodarski/,140,0,"Нет данных","Нет данных",-,66,19,13,10,20,12,12,"Нет данных",11,3,4,4,5,4
"губка для миття",https://avrora.ua/gubki-gospodarski/,70,0,"Нет данных","Нет данных",13,11,9,11,12,11,9,11,"Нет данных",10,10,13,14,10,13
"кухонні губки",https://avrora.ua/gubki-gospodarski/,50,0,"Нет данных","Нет данных",35,48,12,12,13,11,7,6,"Нет данных",12,4,7,5,6,4
"чорні губки для посуду",https://avrora.ua/gubki-gospodarski/,50,0,"Нет данных","Нет данных",-,13,10,11,8,9,9,8,"Нет данных",8,10,8,9,12,12
"губки для миття посуду ціна",https://avrora.ua/gubki-gospodarski/,10,0,"Нет данных","Нет данных",50,22,22,13,15,-,9,9,"Нет данных",9,3,3,4,4,2
"газ для заправки запальничок",https://avrora.ua/gaz-dlya-zapravki-zapalnichok-rector-aerozol-100-ml/,40,0,"Нет данных","Нет данных",4,4,10,9,9,5,5,-,"Нет данных",8,3,3,2,2,3
"серветки для прибирання",https://avrora.ua/servetki-dlya-pribirannya-uk/,3600,0,"Нет данных","Нет данных",5,5,4,4,1,1,1,1,"Нет данных",1,1,1,1,1,3
серветки,https://avrora.ua/servetki-paperovi-rushniki/,2400,0,"Нет данных","Нет данных",3,4,3,4,3,6,5,5,"Нет данных",3,2,1,1,3,24
"мікрофібра для скла",https://avrora.ua/servetka-dlya-skla-bavo-mikrofibra-29h29-sm/,720,0,"Нет данных","Нет данных",7,7,9,8,9,9,6,6,"Нет данных",8,4,4,17,6,5
"серветки паперові",https://avrora.ua/servetki/,590,0,"Нет данных","Нет данных",5,4,4,4,4,1,4,5,"Нет данных",6,6,4,5,4,4
"сухі серветки",https://avrora.ua/servetki-dlya-pribirannya/,480,0,"Нет данных","Нет данных",4,4,5,3,3,3,3,3,"Нет данных",1,1,1,1,1,81
"серветки з мікрофібри",https://avrora.ua/servetki-dlya-pribirannya/,390,0,"Нет данных","Нет данных",-,-,37,32,39,43,44,40,"Нет данных",38,31,36,42,61,53
"паперові серветки",https://avrora.ua/servetki/,390,0,"Нет данных","Нет данных",-,-,5,5,5,1,10,5,"Нет данных",3,6,6,4,4,4
"серветки сухі",https://avrora.ua/servetki/,260,0,"Нет данных","Нет данных",-,4,5,4,4,3,-,4,"Нет данных",1,1,3,1,3,37
"серветки для столу",https://avrora.ua/kuhonniy-tekstil/,170,0,"Нет данных","Нет данных",5,21,28,29,17,20,7,7,"Нет данных",7,5,6,6,4,40
"серветки столові",https://avrora.ua/servetki/,170,0,"Нет данных","Нет данных",9,10,8,7,9,8,8,5,"Нет данных",3,4,6,5,5,53
"серветки мікрофібра",https://avrora.ua/servetka-dlya-skla-bavo-mikrofibra-29h29-sm/,170,0,"Нет данных","Нет данных",11,11,11,-,29,22,21,29,"Нет данных",28,13,19,31,21,24
"паперові серветки на стіл",https://avrora.ua/tarilki-ta-salatniki/,140,0,"Нет данных","Нет данных",5,4,5,5,5,14,15,10,"Нет данных",6,3,13,41,20,44
"серветка мікрофібра",https://avrora.ua/servetka-dlya-skla-bavo-mikrofibra-29h29-sm/,110,0,"Нет данных","Нет данных",13,12,15,13,15,15,13,12,"Нет данных",15,10,16,22,21,69
"серветки одноразові",https://avrora.ua/servetki-paperovi-rushniki/,90,0,"Нет данных","Нет данных",10,11,9,8,9,11,9,8,"Нет данных",3,9,5,5,9,-
"купити серветки",https://avrora.ua/servetki/,70,0,"Нет данных","Нет данных",3,3,4,3,4,3,3,3,"Нет данных",4,4,1,1,1,4
"серветки паперові купити",https://avrora.ua/servetki/,90,0,"Нет данных","Нет данных",7,7,8,8,4,3,11,7,"Нет данных",3,7,8,6,6,4
"купити серветки паперові",https://avrora.ua/servetki/,50,0,"Нет данных","Нет данных",7,4,6,4,4,4,9,5,"Нет данных",6,5,5,5,4,4
"серветки купити",https://avrora.ua/servetki/,50,0,"Нет данных","Нет данных",3,3,3,3,3,3,3,3,"Нет данных",3,3,3,3,3,4
"серветка мікрофібра для скла",https://avrora.ua/servetka-dlya-skla-bavo-mikrofibra-29h29-sm/,50,0,"Нет данных","Нет данных",10,9,10,10,11,10,9,9,"Нет данных",9,3,3,17,5,3
"серветки для прибирання віскозні",https://avrora.ua/servetki-dlya-pribirannya-viskozni-universalni-purfix-25h25-sm-30-sht-rul./,40,0,"Нет данных","Нет данных",65,63,43,45,49,62,-,49,"Нет данных",47,52,25,32,20,15
"серветка мікрофібра універсальна",https://avrora.ua/servetka-universalna-dvostoronnya-mikrofibra-vitol-vsc3530-35h30-sm/,30,0,"Нет данных","Нет данных",-,-,79,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"паперові серветки купити",https://avrora.ua/servetki/,10,0,"Нет данных","Нет данных",-,7,8,8,4,10,12,7,"Нет данных",10,8,7,11,9,5
"серветки паперові на стіл купити",https://avrora.ua/servetki/,10,0,"Нет данных","Нет данных",7,7,7,6,7,5,6,5,"Нет данных",5,5,6,6,5,8
"серветки паперові ціна",https://avrora.ua/servetki/,10,0,"Нет данных","Нет данных",8,10,12,9,9,7,11,11,"Нет данных",10,14,12,8,5,5
"сухі серветки купити",https://avrora.ua/servetki/,10,0,"Нет данных","Нет данных",-,8,8,5,4,4,5,5,"Нет данных",3,4,4,4,4,9
"вологі серветки",https://avrora.ua/servetki-vologi/,2900,0,"Нет данных","Нет данных",-,4,4,5,5,4,3,5,"Нет данных",5,4,3,3,4,3
"вологі серветки для прибирання",https://avrora.ua/servetki-dlya-pribirannya/,30,0,"Нет данных","Нет данных",5,5,1,1,1,1,1,1,"Нет данных",1,1,1,2,1,4
"серветки вологі",https://avrora.ua/servetki-vologi/,590,0,"Нет данных","Нет данных",4,4,4,4,5,4,3,3,"Нет данных",3,3,2,3,3,3
"серветки вологі для прибирання",https://avrora.ua/servetki-dlya-pribirannya/,260,0,"Нет данных","Нет данных",6,5,2,1,1,1,1,1,"Нет данных",1,1,1,2,1,3
"купити вологі серветки",https://avrora.ua/servetki-vologi/,140,0,"Нет данных","Нет данных",-,3,4,5,3,3,2,2,"Нет данных",3,3,3,3,3,3
"купити вологі серветки оптом",https://avrora.ua/servetki-vologi/,110,0,"Нет данных","Нет данных",24,15,14,-,17,19,15,15,"Нет данных",15,17,6,20,16,14
"вологі серветки великі",https://avrora.ua/servetki-vologi/,70,0,"Нет данных","Нет данных",3,4,4,3,4,5,4,4,"Нет данных",4,4,4,4,4,3
"вологі серветки купити",https://avrora.ua/servetki-vologi/,50,0,"Нет данных","Нет данных",-,3,3,4,2,4,5,2,"Нет данных",3,4,3,3,3,3
"серветки антибактеріальні",https://avrora.ua/servetki-vologi-smile-antibakterialni-z-klapanom-120-shtuk/,70,0,"Нет данных","Нет данных",-,-,17,-,18,18,18,17,"Нет данных",14,18,19,19,17,16
"дитячі серветки вологі",https://avrora.ua/servetki-vologi/,40,0,"Нет данных","Нет данных",10,6,7,6,6,5,4,4,"Нет данных",5,7,5,6,6,4
"серветки вологі антибактеріальні",https://avrora.ua/servetki-vologi-smile-antibakterialni-z-klapanom-120-shtuk/,50,0,"Нет данных","Нет данных",-,18,33,21,23,18,18,18,"Нет данных",20,17,21,16,30,27
"вологі серветки зі спиртом",https://avrora.ua/servetki-vologi-o3-antibakterialni-zi-spirtom-z-klapanom-72-sht-up/,30,0,"Нет данных","Нет данных",8,10,12,11,10,7,11,11,"Нет данных",5,8,7,7,7,7
"вологі серветки ціна",https://avrora.ua/servetki-vologi/,30,0,"Нет данных","Нет данных",-,4,4,4,3,4,5,3,"Нет данных",3,3,4,4,4,3
"антибактеріальні салфетки",https://avrora.ua/servetki-vologi-smile-antibakterialni-z-klapanom-120-shtuk/,20,0,"Нет данных","Нет данных",-,20,19,21,21,17,22,21,"Нет данных",19,19,29,26,48,48
миска,https://avrora.ua/miska/,2400,0,"Нет данных","Нет данных",-,12,12,15,15,14,14,13,"Нет данных",15,12,21,23,23,20
"миска пластикова",https://avrora.ua/miska-plastikova-krugla-nezabudka-miks-6-l/,390,0,"Нет данных","Нет данных",5,4,4,4,2,4,3,6,"Нет данных",2,4,4,5,3,4
"купити миски",https://avrora.ua/miski/,260,0,"Нет данных","Нет данных",22,20,16,17,19,17,23,23,"Нет данных",19,22,18,18,14,36
"миска велика",https://avrora.ua/tarilki-ta-salatniki/,110,0,"Нет данных","Нет данных",28,37,9,8,10,35,33,29,"Нет данных",15,45,12,15,26,31
"пластикові миски",https://avrora.ua/tarilki-ta-salatniki/,110,0,"Нет данных","Нет данных",-,44,40,-,41,32,26,27,"Нет данных",42,42,41,44,38,33
"рукомийник для дачі",https://avrora.ua/rukomiynik-dachniy-plastikoviy-3-3-l/,1000,0,"Нет данных","Нет данных",-,12,10,10,13,11,19,18,"Нет данных",12,10,12,11,16,11
"купити рукомийник дачний",https://avrora.ua/rukomiynik-dachniy-plastikoviy-3-3-l/,170,0,"Нет данных","Нет данных",8,8,8,8,11,10,8,9,"Нет данных",-,9,8,9,9,7
"садовий рукомийник",https://avrora.ua/rukomiynik-dachniy-plastikoviy-3-3-l/,70,0,"Нет данных","Нет данных",11,11,-,12,13,13,14,14,"Нет данных",14,12,9,10,11,7
рукомийники,https://avrora.ua/rukomiynik-dachniy-plastikoviy-3-3-l/,70,0,"Нет данных","Нет данных",-,-,-,-,-,70,-,-,"Нет данных",73,66,56,31,19,38
"рукомийник садовий",https://avrora.ua/rukomiynik-dachniy-plastikoviy-3-3-l/,50,0,"Нет данных","Нет данных",13,14,13,11,16,13,14,13,"Нет данных",16,13,12,12,10,8
"рукомийники дачні",https://avrora.ua/rukomiynik-dachniy-plastikoviy-3-3-l/,30,0,"Нет данных","Нет данных",-,65,62,-,-,-,-,-,"Нет данных",-,66,45,47,27,35
"рукомийник дачний купити",https://avrora.ua/rukomiynik-dachniy-plastikoviy-3-3-l/,10,0,"Нет данных","Нет данных",8,8,8,12,13,11,11,11,"Нет данных",12,10,11,10,10,10
"рукомийник ціна",https://avrora.ua/rukomiynik-dachniy-plastikoviy-3-3-l/,10,0,"Нет данных","Нет данных",-,53,42,27,20,21,42,42,"Нет данных",47,20,23,21,77,56
"кошики для сміття",https://avrora.ua/koshiki-dlya-smittya/,390,0,"Нет данных","Нет данных",7,5,13,13,8,8,7,8,"Нет данных",10,11,10,9,12,8
"кошик для сміття",https://avrora.ua/koshiki-dlya-smittya/,390,0,"Нет данных","Нет данных",9,4,9,11,3,6,5,5,"Нет данных",5,4,5,5,5,4
"корзина для паперу",https://avrora.ua/koshiki-dlya-zberigannya/,70,0,"Нет данных","Нет данных",-,10,10,10,11,14,8,8,"Нет данных",7,9,22,26,31,26
"гофра для унітазу",,10,0,"Нет данных","Нет данных",-,-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"гофра на унітаз",,720,0,"Нет данных","Нет данных",-,-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"гофра до унітаза",,390,0,"Нет данных","Нет данных",-,-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"гофра до унітазу",,390,0,"Нет данных","Нет данных",-,-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"гофра для унітаза",,170,0,"Нет данных","Нет данных",-,-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"гофра для унітазу ціна",,30,0,"Нет данных","Нет данных",-,-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"купити гофру до унітазу",,30,0,"Нет данных","Нет данных",-,-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"гофра до унітазу ціна",https://avrora.ua/santehnika-ta-aksessuari/,20,0,"Нет данных","Нет данных",-,-,-,-,-,68,-,-,"Нет данных",80,-,-,-,-,-
"фільтри для води",https://avrora.ua/zootovari/,4400,0,"Нет данных","Нет данных",-,-,-,-,-,-,-,-,"Нет данных",-,-,-,80,-,-
"фільтр для води проточний",,10,0,"Нет данных","Нет данных",-,-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"купить фільтри для води",https://avrora.ua/filtri-dlya-vodi/,10,0,"Нет данных","Нет данных",-,-,-,-,94,-,-,92,"Нет данных",-,-,34,39,67,31
"купити фільтр для води",https://avrora.ua/filtri-dlya-vodi/,30,0,"Нет данных","Нет данных",40,44,50,43,51,46,43,43,"Нет данных",56,23,35,41,49,36
"фільтри для очистки води",https://avrora.ua/instrumenti-ta-materiali-dlya-remontu/,10,0,"Нет данных","Нет данных",-,-,64,-,60,57,64,65,"Нет данных",61,72,61,57,69,-
